  Radius(kpc)    Vcirc (km/sec)
     0.50      124.79
     1.00      160.34
     1.50      180.23
     2.00      192.74
     2.50      201.14
     3.00      207.08
     3.50      211.43
     4.00      214.71
     4.50      217.25
     5.00      219.23
     5.50      220.80
     6.00      222.04
     6.50      223.04
     7.00      223.83
     7.50      224.47
     8.00      224.97
     8.50      225.36
     9.00      225.66
     9.50      225.90
    10.00      226.08
    10.50      226.21
    11.00      226.31
    11.50      226.37
    12.00      226.41
    12.50      226.43
    13.00      226.44
    13.50      226.43
    14.00      226.42
    14.50      226.40
    15.00      226.37
    15.50      226.33
    16.00      226.30
    16.50      226.26
    17.00      226.21
    17.50      226.17
    18.00      226.12
    18.50      226.07
    19.00      226.02
    19.50      225.96
    20.00      225.91
    20.50      225.85
    21.00      225.79
    21.50      225.73
    22.00      225.66
    22.50      225.60
    23.00      225.53
    23.50      225.46
    24.00      225.38
    24.50      225.31
    25.00      225.23
